query,title,description,content,vaderScore,finbertResult
GOOGL,JPMorgan Just Beat Big Tech to a Quantum Breakthrough,"Lava lamps, lottery balls and mouse cursors have long stood in for real-world randomness. Now JPMorgan Chase, with a 56-qubit machine and a theoretical physicist, has demonstrated a quantum leap: randomness, certified. It’s a milestone for quantum computing—a…","At JPMorgan Chase headquarters, a quiet quantum coup: the bank just beat Big Tech to a breakthrough in certified randomnessmarking a rare win for Wall Street in the race to make quantum computing use… [+2719 chars]",0.5859,neutral
GOOGL,$1000 Invested In This Stock 15 Years Ago Would Be Worth This Much Today,"Alphabet (NASDAQ:GOOGL) has outperformed the market over the past 15 years by 6.61% on an annualized basis producing an average annual return of 17.6%. Currently, Alphabet has a market capitalization of $1.98 trillion. 
Buying $1000 In GOOGL: If an ...
Full s…","Alphabet (NASDAQ:GOOGL) has outperformed the market over the past 15 years by 6.61% on an annualized basis producing an average annual return of 17.6%. Currently, Alphabet has a market capitalization… [+146 chars]",0.2263,positive
GOOGL,Google's new AI updates will scan your screenshots and give you itineraries,"Google (GOOGL) is making travel planning a whole lot easier for users, with artificial intelligence makeovers to its Search and Maps functions released ThursdayRead more...","In This Story
Google (GOOGL-1.38%
) is making travel planning a whole lot easier for users, with artificial intelligence makeovers to its Search and Maps functions released Thursday
Chances are, y… [+1670 chars]",0.9118,neutral
GOOGL,Google Spinoff Targets Musk Starlink Service But Is Amazon's Kuiper Only Real Threat?,The Elon Musk Starlink broadband satellite service holds a big lead as Google's Taara seeks new funding and Amazon ramps up Kuiper competition.,"The global broadband internet landscape may well have a new entrant market some day in Taara, spun off this month by Google-parent Alphabet (GOOGL). But Elon Musk's satellite service Starlink, part o… [+4139 chars]",-0.2263,neutral
GOOGL,What Happened Before 23andMe Lost 99.8% of Its Value?,"23andMe promised to tell you where you came from. Now, it's not clear where your genetic data is going. With a Chapter 11 filing, a 99.8 percent drop in market value and its founder stepping down to bid on what’s left, the fall of this one-time biotech unicor…","Anne Wojcicki, once the face of biotechs consumer revolution, holding a Breakthrough Prize. Years later, 23andMe has filed for bankruptcytaking 99.8 percent of its value and the genetic data of 15 mi… [+3793 chars]",0.7518,negative
GOOGL,"Italy Demands $1.1 Billion in Back Taxes From Meta, LinkedIn and X Over VAT Dispute","Italy is demanding nearly $1.1 billion in VAT from Meta, LinkedIn and X.","Italy's tax authorities have issued formal demands totaling nearly $1.1 billion to U.S. technology firms Meta (META, Financials), LinkedIn and X over unpaid value-added tax from previous years, accor… [+1593 chars]",-0.5574,negative
GOOGL,"Alphabet Inc. (GOOGL) Boosts Gmail With AI-Driven Search—Faster, Smarter Results Coming to All Users","We recently published a list of the 10 AI Stocks Catching Wall Street’s Attention. In this article, we are going to take a look at where Alphabet Inc...","We recently published a list of the 10 AI Stocks Catching Wall Streets Attention. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOG) stands against other AI stocks that… [+4240 chars]",0.6486,neutral
GOOGL,"BigID Next is changing AI model training for the better, CEO says","Dmitri Sirota, Chief Executive Officer of BigID, spoke with NYSE TV’s “Taking Stock with Kristen Scholer” for a special video interview.Read more...","Dmitri Sirota, Chief Executive Officer of BigID, spoke with NYSE TVs Taking Stock with Kristen Scholer for a special video interview.
Watch the interview above and check out the transcript below. Th… [+5810 chars]",0.8074,neutral
GOOGL,Microsoft Scales Back Data Center Leases Amid Oversupply and Shifting AI Demands,The company attributed the move to oversupply and lack of OpenAI training workload requirements.,"Microsoft (MSFT, Financials) backed away from U.S. and European data center projects totaling 2 gigawatts over the past six months, TD Cowen analysts said, attributing the move to excess infrastructu… [+1600 chars]",-0.296,negative
GOOGL,OpenAI is close to breaking records by raising a whopping $40 billion at a $300 billion valuation,OpenAi's valuation is larger than the GDP of some countries,"In This Story
Bloomberg reports that OpenAI is on the verge of completing a $40 billion funding injection. To put the funding in perspective, Nicaraguas annual GPD is approximately $17 billion, whil… [+1480 chars]",0.0,positive
GOOGL,Harrington Investments INC Sells 320 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Harrington Investments INC lowered its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.9% in the fourth quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 34,991 shares of…","Harrington Investments INC lowered its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.9% in the fourth quarter, according to the company in its most recent Form 13F filing with the Secur… [+6121 chars]",0.8807,negative
GOOGL,Alphabet Inc. (NASDAQ:GOOGL) Shares Acquired by Natixis Advisors LLC,"Natixis Advisors LLC boosted its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.2% during the 4th quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm owned 5,013,961 shares of the infor…","Natixis Advisors LLC boosted its holdings in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.2% during the 4th quarter, according to its most recent disclosure with the Securities and Excha… [+6390 chars]",0.9674,positive
GOOGL,Zevin Asset Management LLC Boosts Stake in Alphabet Inc. (NASDAQ:GOOGL),"Zevin Asset Management LLC lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 14.0% during the fourth quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The fund owned 109,074 shares of the informatio…","Zevin Asset Management LLC lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 14.0% during the fourth quarter, according to its most recent 13F filing with the Securities &amp; Exch… [+6290 chars]",0.9638,positive
GOOGL,"First Financial Group Corp Acquires Shares of 2,585 Alphabet Inc. (NASDAQ:GOOGL)","First Financial Group Corp bought a new position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) in the 4th quarter, Holdings Channel reports. The fund bought 2,585 shares of the information services provider’s stock, valued at approximately $489,000.…","First Financial Group Corp bought a new position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) in the 4th quarter, Holdings Channel reports. The fund bought 2,585 shares of the information … [+6285 chars]",0.9552,neutral
GOOGL,"Campbell Capital Management Inc. Invests $57,000 in Alphabet Inc. (NASDAQ:GOOGL)","Campbell Capital Management Inc. acquired a new stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) in the fourth quarter, according to the company in its most recent disclosure with the SEC. The firm acquired 300 shares of the information services …","Campbell Capital Management Inc. acquired a new stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) in the fourth quarter, according to the company in its most recent disclosure with the SE… [+5715 chars]",0.9042,neutral
GOOGL,Associated Banc Corp Reduces Holdings in Alphabet Inc. (NASDAQ:GOOGL),"Associated Banc Corp lessened its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.1% in the fourth quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owned 7…","Associated Banc Corp lessened its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.1% in the fourth quarter, according to the company in its most recent 13F filing with the Securiti… [+6260 chars]",0.9042,positive
GOOGL,"Doheny Asset Management CA Sells 3,209 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Doheny Asset Management CA reduced its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 13.9% in the 4th quarter, Holdings Channel.com reports. The fund owned 19,927 shares of the information services provider’s stock after selling 3,209 shares durin…","Doheny Asset Management CA reduced its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 13.9% in the 4th quarter, Holdings Channel.com reports. The fund owned 19,927 shares of the informatio… [+5910 chars]",0.9633,negative
