Date Reported,Holder,pctHeld,Shares,Value,pctChange,timestamp,ticker
2025-03-31,Vanguard Group Inc,0.093,691386214,355172027185,0.0107,2025-07-25,MSFT
2025-03-31,Blackrock Inc.,0.0785,583284931,299639314720,0.012200001,2025-07-25,MSFT
2025-03-31,State Street Corporation,0.0398,296030244,152073703149,0.0031,2025-07-25,MSFT
2025-03-31,"FMR, LLC",0.026199998,194591253,99963476854,-0.0148,2025-07-25,MSFT
2025-03-31,"Geode Capital Management, LLC",0.023599999,175469697,90140541901,0.0437,2025-07-25,MSFT
2025-03-31,JPMORGAN CHASE & CO,0.0191,142009968,72951943781,0.052399997,2025-07-25,MSFT
2025-03-31,Price (T.Rowe) Associates Inc,0.0177,131514660,67560398878,-0.0269,2025-07-25,MSFT
2025-03-31,Morgan Stanley,0.0167,123846555,63621216490,-0.013200001,2025-07-25,MSFT
2024-12-31,NORGES BANK,0.014199999,105202984,54043827222,0.0838,2025-07-25,MSFT
2025-03-31,Northern Trust Corporation,0.0111,82539834,42401539937,-0.0149,2025-07-25,MSFT
