insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
Walmsley Emma N,Director,0.0,,,0.0,0.0,9913.797,0.0,0.0
Rodriguez Carlos A,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
PRITZKER PENNY S,Director,0.0,,,0.0,0.0,12000.0,0.0,0.0
PETERSON SANDRA E,Director,0.0,,,0.0,0.0,5400.0,0.0,0.0
MacGregor Catherine,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,2415.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,7750.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Hoffman Reid,Director,0.0,,,0.0,0.0,15905.0,0.0,0.0
SMITH BRADFORD L,Vice Chair and President,-3722.385,02/28/2025,F,3722.385,392.53,551999.1046,1461147.78405,2.6470111488836645
Numoto Takeshi,"EVP, Chief Marketing Officer",-1294.178,02/28/2025,F,1294.178,392.53,48057.6765,508003.69034000003,10.570708518128212
Jolla Alice L.,Chief Accounting Officer,-444.056,02/28/2025,F,444.056,392.53,70148.9526,174305.30167999998,2.484788371309196
Hood Amy,"EVP, Chief Financial Officer",-4390.842,02/28/2025,F,4390.842,392.53,515352.331,1723537.2102599998,3.3443861734662454
Hogan Kathleen T,"EVP, Chief Human Resources Off",-1744.787,02/28/2025,F,1744.787,392.53,156328.129,684881.24111,4.381049306295989
Althoff Judson,"EVP, Chief Commercial Officer",-3283.854,02/28/2025,F,3283.854,392.53,114010.035,1289011.2106199998,11.306120646485196
Walmsley Emma N,Director,0.0,,,0.0,0.0,9913.797,0.0,0.0
STANTON JOHN W,Director,0.0,01/31/2025,A,0.0,0.0,78373.0,0.0,0.0
STANTON JOHN W,Director,0.0,,,0.0,0.0,7243.0,0.0,0.0
SCHARF CHARLES W,Director,0.0,01/31/2025,A,0.0,0.0,44360.0,0.0,0.0
SCHARF CHARLES W,Director,0.0,,,0.0,0.0,525.0,0.0,0.0
Rodriguez Carlos A,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
PRITZKER PENNY S,Director,0.0,,,0.0,0.0,12000.0,0.0,0.0
PETERSON SANDRA E,Director,0.0,,,0.0,0.0,5400.0,0.0,0.0
Mason Mark,Director,0.0,01/31/2025,A,0.0,0.0,1143.0,0.0,0.0
MacGregor Catherine,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
List Teri,Director,0.0,01/31/2025,A,0.0,0.0,151.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,2264.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,7750.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Hoffman Reid,Director,0.0,,,0.0,0.0,15905.0,0.0,0.0
Jolla Alice L.,Chief Accounting Officer,-617.402,12/16/2024,F,617.402,447.27,70593.0086,276145.39254000003,3.9117952048866216
Walmsley Emma N,Director,0.0,,,0.0,0.0,9913.797,0.0,0.0
Rodriguez Carlos A,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
PRITZKER PENNY S,Director,0.0,,,0.0,0.0,12000.0,0.0,0.0
PETERSON SANDRA E,Director,0.0,,,0.0,0.0,5400.0,0.0,0.0
MacGregor Catherine,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,132.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,2132.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,7750.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Hoffman Reid,Director,0.0,,,0.0,0.0,15905.0,0.0,0.0
Numoto Takeshi,"EVP, Chief Marketing Officer",-2500.0,12/09/2024,S,2500.0,447.412,49351.8545,1118530.0,22.664396532454518
Walmsley Emma N,Director,0.0,,,0.0,0.0,9913.797,0.0,0.0
STANTON JOHN W,Director,0.0,12/09/2024,A,0.0,0.0,78222.0,0.0,0.0
STANTON JOHN W,Director,0.0,,,0.0,0.0,7243.0,0.0,0.0
SCHARF CHARLES W,Director,0.0,12/09/2024,A,0.0,0.0,44209.0,0.0,0.0
SCHARF CHARLES W,Director,0.0,,,0.0,0.0,525.0,0.0,0.0
Rodriguez Carlos A,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
PRITZKER PENNY S,Director,0.0,,,0.0,0.0,12000.0,0.0,0.0
PETERSON SANDRA E,Director,0.0,,,0.0,0.0,5400.0,0.0,0.0
Mason Mark,Director,0.0,12/09/2024,A,0.0,0.0,992.0,0.0,0.0
MacGregor Catherine,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
List Teri,Director,0.0,12/09/2024,A,0.0,0.0,132.0,0.0,0.0
List Teri,Director,0.0,,,0.0,0.0,2132.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,7750.0,0.0,0.0
Johnston Hugh F,Director,0.0,,,0.0,0.0,0.0,0.0,0.0
Hoffman Reid,Director,0.0,,,0.0,0.0,15905.0,0.0,0.0
Numoto Takeshi,"EVP, Chief Marketing Officer",-2000.0,12/04/2024,S,2000.0,437.317,51851.8545,874634.0,16.867940567101606
