contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
AMZN250801C00110000,2025-07-21 17:05:08+00:00,110.0,119.08,120.5,123.55,0.0,0.0,2.0,33,2.756839045410157,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00115000,2025-07-16 14:44:08+00:00,115.0,110.22,115.25,118.6,0.0,0.0,,1,2.530277111816406,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00120000,2025-07-24 16:54:14+00:00,120.0,112.6,110.0,113.6,0.0,0.0,20.0,20,2.2832074169921874,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00135000,2025-07-25 19:52:59+00:00,135.0,97.0,95.15,98.6,7.8600006,8.817591,19.0,20,1.970703271484375,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00140000,2025-07-18 15:50:02+00:00,140.0,85.36,90.5,93.6,0.0,0.0,,1,1.9619142529296876,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00145000,2025-07-24 16:10:15+00:00,145.0,87.29,85.6,88.6,0.0,0.0,20.0,12,1.8681647216796877,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00150000,2025-07-23 13:34:44+00:00,150.0,78.98,80.7,83.6,0.0,0.0,1.0,19,1.7744151904296874,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00155000,2025-07-25 18:27:14+00:00,155.0,77.15,75.6,78.65,6.2300034,8.784552,1.0,3,1.6484392578125,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00160000,2025-07-23 19:13:23+00:00,160.0,69.44,71.1,72.15,0.0,0.0,1.0,3167,1.2382850585937497,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00165000,2025-07-15 18:11:12+00:00,165.0,67.32,65.25,68.65,4.950001,7.936509,1.0,11,1.3515657421874998,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00170000,2025-07-16 15:38:40+00:00,170.0,52.92,61.25,62.15,0.0,0.0,10.0,3429,1.1142622412109375,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00175000,2025-07-25 19:49:20+00:00,175.0,57.0,55.95,57.7,-0.47999954,-0.8350723,4.0,137,1.0927779736328125,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00180000,2025-07-25 17:56:09+00:00,180.0,52.2,51.0,52.65,-0.1800003,-0.3436432,134.0,492,0.999023447265625,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00185000,2025-07-25 19:31:23+00:00,185.0,47.23,46.05,47.65,-0.09000015,-0.19019474,67.0,136,0.9169930175781251,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00190000,2025-07-25 19:32:07+00:00,190.0,41.85,41.35,41.85,-0.70000076,-1.6451252,33.0,661,0.702151416015625,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00195000,2025-07-25 19:57:03+00:00,195.0,36.94,36.55,36.95,-0.7900009,-2.093827,137.0,555,0.6962920996093751,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00200000,2025-07-25 19:33:15+00:00,200.0,32.2,31.6,32.0,-0.5999985,-1.8292637,73.0,2095,0.6279334082031252,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00202500,2025-07-25 18:09:30+00:00,202.5,29.36,28.9,29.8,-1.8400002,-5.897436,12.0,467,0.5996133789062501,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00205000,2025-07-25 19:55:41+00:00,205.0,26.93,26.65,27.1,-0.48999977,-1.7870159,63.0,1998,0.5625043750000001,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00207500,2025-07-25 19:14:05+00:00,207.5,24.85,24.3,24.75,-0.69999886,-2.7397215,152.0,123,0.5537154003906251,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00210000,2025-07-25 19:55:00+00:00,210.0,22.23,22.0,22.25,-0.65999985,-2.8833547,331.0,1358,0.5273484765625001,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00212500,2025-07-25 18:43:51+00:00,212.5,19.95,19.35,20.0,-0.789999,-3.8090599,116.0,199,0.5419967675781252,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00215000,2025-07-25 19:57:47+00:00,215.0,17.66,17.5,17.7,-1.1900005,-6.313,314.0,1452,0.5031787963867188,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00217500,2025-07-25 19:54:54+00:00,217.5,15.58,15.35,15.6,-1.0499992,-6.313886,474.0,258,0.5109912182617188,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00220000,2025-07-25 19:59:01+00:00,220.0,13.53,13.4,13.55,-1.0900002,-7.4555416,1196.0,4570,0.4997608618164063,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00222500,2025-07-25 19:59:38+00:00,222.5,11.62,11.6,11.7,-1.2300005,-9.571988,657.0,2181,0.4975636181640626,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00225000,2025-07-25 19:57:39+00:00,225.0,10.0,9.9,10.05,-1.0900002,-9.828675,998.0,4533,0.5009815527343751,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00227500,2025-07-25 19:59:24+00:00,227.5,8.45,8.4,8.5,-1.1599998,-12.070759,1417.0,2702,0.4998829309082031,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00230000,2025-07-25 19:59:52+00:00,230.0,7.05,7.0,7.1,-1.04,-12.855377,5609.0,10388,0.4985401708984375,True,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00232500,2025-07-25 19:59:48+00:00,232.5,5.85,5.75,5.85,-0.9300003,-13.716818,6015.0,4808,0.4968312036132813,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00235000,2025-07-25 19:59:28+00:00,235.0,4.7,4.65,4.75,-0.9500003,-16.814165,7895.0,6926,0.4946339599609375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00237500,2025-07-25 19:59:58+00:00,237.5,3.75,3.7,3.75,-0.8000002,-17.58242,1195.0,2123,0.48828636718750007,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00240000,2025-07-25 19:59:41+00:00,240.0,2.84,2.85,2.89,-0.8100002,-22.191784,5607.0,18022,0.4809622216796875,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00242500,2025-07-25 19:59:57+00:00,242.5,2.15,2.13,2.16,-0.73,-25.347221,2139.0,2961,0.4720511779785156,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00245000,2025-07-25 19:59:05+00:00,245.0,1.55,1.54,1.57,-0.6600001,-29.864256,3978.0,12495,0.4633842724609375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00247500,2025-07-25 19:56:55+00:00,247.5,1.07,1.07,1.09,-0.54999995,-33.950615,1291.0,8449,0.4523980541992188,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00250000,2025-07-25 19:59:16+00:00,250.0,0.73,0.73,0.74,-0.47000003,-39.166668,4747.0,9408,0.44385321777343745,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00255000,2025-07-25 19:59:28+00:00,255.0,0.31,0.29,0.31,-0.29000002,-48.333336,1303.0,2588,0.428716650390625,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00260000,2025-07-25 19:56:23+00:00,260.0,0.12,0.12,0.13,-0.18,-59.999996,913.0,10154,0.424810439453125,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00265000,2025-07-25 19:53:50+00:00,265.0,0.05,0.05,0.06,-0.09,-64.28571,306.0,1323,0.43164630859375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00270000,2025-07-25 19:53:03+00:00,270.0,0.03,0.02,0.03,-0.03,-50.0,97.0,1023,0.445318046875,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00275000,2025-07-25 19:52:55+00:00,275.0,0.02,0.01,0.02,-0.01,-33.333336,37.0,238,0.4687553125,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00280000,2025-07-25 19:59:57+00:00,280.0,0.01,0.01,0.02,-0.01,-50.0,966.0,623,0.500005,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00285000,2025-07-25 18:48:06+00:00,285.0,0.01,0.0,0.01,0.0,0.0,205.0,337,0.51562984375,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00290000,2025-07-25 15:24:38+00:00,290.0,0.01,0.0,0.01,-0.01,-50.0,30.0,2322,0.5312546875,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801C00295000,2025-07-24 18:51:23+00:00,295.0,0.01,0.0,0.02,0.0,0.0,41.0,437,0.5937540625000001,False,REGULAR,USD,call,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00110000,2025-07-11 18:42:43+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,1,1.625001875,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00115000,2025-07-14 13:43:24+00:00,115.0,0.02,0.0,0.01,0.0,0.0,200.0,202,1.5625021874999998,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00120000,2025-07-25 18:47:21+00:00,120.0,0.01,,0.01,0.0,0.0,151.0,5,1.5312523437499999,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00125000,2025-07-25 19:33:36+00:00,125.0,0.01,0.0,0.01,0.0,0.0,1312.0,145,1.3750031249999999,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00130000,2025-07-16 18:26:04+00:00,130.0,0.01,0.0,0.01,0.0,0.0,3.0,151,1.2812535937499998,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00135000,2025-07-24 15:26:46+00:00,135.0,0.01,0.0,0.01,0.0,0.0,5.0,30,1.1875040625,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00140000,2025-07-24 17:31:57+00:00,140.0,0.01,0.0,0.01,0.0,0.0,280.0,780,1.125004375,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00145000,2025-07-25 18:35:29+00:00,145.0,0.01,0.0,0.07,0.0,0.0,1.0,676,1.2578162109375,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00150000,2025-07-25 14:59:35+00:00,150.0,0.03,0.0,0.02,0.02,200.0,6.0,374,1.0468797656250002,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00155000,2025-07-25 19:43:34+00:00,155.0,0.01,0.01,0.03,-0.01,-50.0,129.0,1417,1.0312548437500002,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00160000,2025-07-25 19:41:21+00:00,160.0,0.02,0.01,0.02,0.01,100.0,140.0,4506,0.929688203125,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00165000,2025-07-25 19:59:43+00:00,165.0,0.03,0.01,0.03,0.0,0.0,13.0,1505,0.8828136718749999,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00170000,2025-07-25 15:23:49+00:00,170.0,0.02,0.02,0.03,-0.01,-33.333336,275.0,9887,0.8281267187499999,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00175000,2025-07-25 19:24:50+00:00,175.0,0.04,0.02,0.04,0.0,0.0,112.0,2532,0.773439765625,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00180000,2025-07-25 19:37:24+00:00,180.0,0.05,0.04,0.05,0.010000002,25.000004,470.0,1846,0.73437765625,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00185000,2025-07-25 19:34:59+00:00,185.0,0.08,0.05,0.07,0.029999997,59.999996,742.0,1692,0.68555001953125,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00190000,2025-07-25 19:47:26+00:00,190.0,0.09,0.07,0.09,0.020000003,28.571432,2532.0,2867,0.6347692773437501,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00195000,2025-07-25 19:59:46+00:00,195.0,0.1,0.1,0.11,0.0,0.0,856.0,2868,0.5839885351562499,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00200000,2025-07-25 19:59:46+00:00,200.0,0.15,0.15,0.17,-0.019999996,-11.764703,1311.0,3826,0.5429733203125001,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00202500,2025-07-25 19:54:14+00:00,202.5,0.2,0.19,0.2,-0.030000001,-13.043478,207.0,1168,0.5205126074218749,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00205000,2025-07-25 19:59:03+00:00,205.0,0.26,0.25,0.26,-0.030000001,-10.344828,1698.0,5888,0.5048877636718749,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00207500,2025-07-25 19:58:58+00:00,207.5,0.33,0.33,0.35,-0.06999999,-17.499998,816.0,1334,0.4936574072265626,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00210000,2025-07-25 19:59:22+00:00,210.0,0.48,0.46,0.48,-0.099999994,-17.241379,1211.0,4256,0.48291532714843755,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00212500,2025-07-25 19:59:22+00:00,212.5,0.67,0.64,0.67,-0.14999998,-18.29268,1105.0,2440,0.47559118164062497,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00215000,2025-07-25 19:59:08+00:00,215.0,0.94,0.93,0.94,-0.19,-16.81416,3918.0,4378,0.47095255615234377,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00217500,2025-07-25 19:59:45+00:00,217.5,1.32,1.3,1.33,-0.2299999,-14.838704,2123.0,2637,0.47046427978515626,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00220000,2025-07-25 19:59:45+00:00,220.0,1.82,1.82,1.86,-0.27999985,-13.333326,3530.0,6130,0.4731497998046875,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
AMZN250801P00222500,2025-07-25 19:58:34+00:00,222.5,2.52,2.48,2.52,-0.24000001,-8.695652,1990.0,1288,0.47485876708984376,False,REGULAR,USD,put,2025-08-01,AMZN,2025-07-25 21:36:08
