contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
GOOGL250801C00100000,2025-07-24 15:13:50+00:00,100.0,93.6,92.9,94.0,0.0,0.0,1.0,1,2.253910615234375,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00105000,2025-07-10 19:50:00+00:00,105.0,72.8,87.9,89.0,0.0,0.0,,1,2.1015672460937496,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00110000,2025-07-21 14:23:56+00:00,110.0,79.67,83.0,85.35,0.0,0.0,1.0,1,2.454105427246094,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00120000,2025-07-24 14:10:10+00:00,120.0,72.06,72.9,73.85,0.0,0.0,4.0,3838,1.60547072265625,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00130000,2025-07-16 19:35:44+00:00,130.0,53.31,62.9,64.0,0.0,0.0,2.0,5,1.43359658203125,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00135000,2025-07-25 13:48:18+00:00,135.0,59.3,57.95,59.0,2.0499992,3.5807848,1.0,14,1.3330111474609372,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00140000,2025-07-23 19:10:17+00:00,140.0,53.4,52.75,53.7,2.6100006,5.138808,1.0,12,0.937500625,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00145000,2025-07-24 13:45:38+00:00,145.0,50.3,47.95,49.05,0.0,0.0,2.0,6,1.1162153564453123,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00150000,2025-07-25 14:33:21+00:00,150.0,43.52,43.05,44.05,1.0699997,2.5206118,9.0,70,1.0302782861328126,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00155000,2025-07-25 18:27:11+00:00,155.0,38.45,37.7,39.05,0.45000076,1.1842126,10.0,65,0.8193377441406249,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00157500,2025-07-24 18:40:16+00:00,157.5,36.35,35.2,36.7,0.0,0.0,9.0,4,0.8125018749999999,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00160000,2025-07-25 19:40:58+00:00,160.0,33.2,32.85,35.1,0.670002,2.0596435,32.0,252,0.9521489160156249,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
GOOGL250801C00162500,2025-07-25 18:17:27+00:00,162.5,30.84,30.6,31.55,-0.14999962,-0.48402587,2.0,231,0.7617211328125001,True,REGULAR,USD,call,2025-08-01,GOOGL,2025-07-25 21:36:09
