contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp,vol_oi_ratio
MSFT250801C00450000,2025-07-25 19:51:09+00:00,450.0,64.0,63.0,66.15,1.5,2.4,1854.0,120,0.5893595751953126,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,15.322314049586776
MSFT250801C00510000,2025-07-25 19:59:34+00:00,510.0,13.08,12.95,13.1,1.3999996,11.986299,2674.0,2014,0.3942321319580079,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,1.327047146401985
MSFT250801C00512500,2025-07-25 19:59:57+00:00,512.5,11.65,11.55,11.75,1.2399998,11.911621,1813.0,1164,0.39282833740234374,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,1.5562231759656653
MSFT250801C00515000,2025-07-25 19:59:55+00:00,515.0,10.45,10.3,10.5,1.3000002,14.207652,5001.0,3639,0.3917907501220703,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,1.373901098901099
MSFT250801C00517500,2025-07-25 19:57:20+00:00,517.5,9.25,9.15,9.35,1.1499996,14.197525,1940.0,857,0.3911804046630859,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,2.261072261072261
MSFT250801C00520000,2025-07-25 19:59:37+00:00,520.0,8.0,8.15,8.25,0.9000001,12.676058,2330.0,2900,0.38922729919433596,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,0.803171320234402
MSFT250801C00525000,2025-07-25 19:59:57+00:00,525.0,6.25,6.25,6.35,0.9000001,16.822432,3385.0,7333,0.3866638482666015,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,0.4615489500954459
MSFT250801C00530000,2025-07-25 19:59:14+00:00,530.0,4.66,4.65,4.75,0.76999974,19.794338,1579.0,3505,0.38281867187499996,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,0.45037079292641186
MSFT250801C00540000,2025-07-25 19:59:42+00:00,540.0,2.46,2.38,2.48,0.4000001,19.41748,2011.0,3642,0.3764710791015625,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-25 21:36:11,0.5520175679385122
MSFT250801P00450000,2025-07-25 19:15:34+00:00,450.0,0.07,0.06,0.09,-0.059999995,-46.153843,2234.0,2290,0.40918559570312496,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-25 21:36:11,0.9751200349192493
MSFT250801P00490000,2025-07-25 19:59:42+00:00,490.0,2.54,2.5,2.57,-0.6400001,-20.125788,2069.0,2004,0.37506728454589844,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-25 21:36:11,1.0319201995012468
MSFT250801P00500000,2025-07-25 19:59:59+00:00,500.0,5.09,4.95,5.1,-0.7999997,-13.582338,2684.0,3535,0.37756970092773434,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-25 21:36:11,0.7590497737556561
MSFT250801P00512500,2025-07-25 19:59:25+00:00,512.5,10.14,9.95,10.1,-1.1599998,-10.265485,1892.0,891,0.3773255627441406,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-25 21:36:11,2.1210762331838566
MSFT250801P00515000,2025-07-25 19:59:47+00:00,515.0,11.24,11.2,11.35,-1.1599998,-9.354837,2016.0,243,0.3763490100097656,True,REGULAR,USD,put,2025-08-01,MSFT,2025-07-25 21:36:11,8.262295081967213
