contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
NVDA250801C00010000,2025-07-22 19:51:40+00:00,10.0,157.47,163.2,163.8,0.0,0.0,26.0,26.0,0.500005,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00015000,2025-07-16 15:56:34+00:00,15.0,155.56,158.25,158.8,0.0,0.0,5.0,5.0,6.187502265625,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00020000,2025-07-16 19:33:35+00:00,20.0,150.95,153.25,153.8,0.0,0.0,2.0,22.0,5.437503203124999,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00025000,2025-07-25 18:56:26+00:00,25.0,148.35,148.25,148.75,1.800003,1.2282518,4.0,32.0,0.500005,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00030000,2025-07-16 17:35:31+00:00,30.0,141.0,143.25,143.8,0.0,0.0,,46.0,4.406254492187499,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00035000,2025-07-25 17:41:47+00:00,35.0,138.9,138.25,138.85,5.849991,4.3968363,2.0,18.0,4.312504609374999,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00040000,2025-07-25 16:58:28+00:00,40.0,134.36,133.25,133.85,2.800003,2.1283088,5.0,5.0,3.9531251171874997,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00045000,2025-07-14 14:56:59+00:00,45.0,118.97,128.25,128.85,0.0,0.0,,4.0,3.6406258984375004,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00055000,2025-07-25 19:20:40+00:00,55.0,119.05,118.25,118.85,0.6700058,0.5659789,7.0,10.0,3.1171897070312498,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00060000,2025-07-25 16:58:28+00:00,60.0,114.38,113.25,113.85,0.75,0.660037,5.0,5.0,2.8906277734375,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00065000,2025-07-25 15:05:44+00:00,65.0,108.91,108.2,108.85,2.8100052,2.64845,2.0,2.0,2.50000375,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00070000,2025-07-25 19:54:00+00:00,70.0,103.6,103.3,103.8,0.91999817,0.8959857,27.0,5.0,2.49219126953125,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00075000,2025-07-24 19:32:42+00:00,75.0,98.73,98.25,98.85,0.0,0.0,5.0,35.0,2.3125042187499996,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00080000,2025-07-25 19:17:29+00:00,80.0,94.03,93.3,93.85,0.27999878,0.29866537,4.0,86.0,2.2421918945312496,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00085000,2025-07-24 16:15:32+00:00,85.0,88.97,88.3,88.85,1.050003,1.194271,10.0,37.0,2.0781298046874994,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00090000,2025-07-25 19:51:05+00:00,90.0,83.88,83.3,83.75,0.3299942,0.39496613,22.0,5671.0,1.7109389453125,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00095000,2025-07-25 19:14:03+00:00,95.0,79.15,78.3,78.75,3.340004,4.4057565,2.0,5306.0,1.5781271093749998,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
NVDA250801C00100000,2025-07-25 17:35:21+00:00,100.0,74.02,73.3,73.9,0.8999939,1.230845,21.0,318.0,1.6992202539062502,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06
