contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp,vol_oi_ratio
NVDA250801C00170000,2025-07-25 19:59:46+00:00,170.0,5.15,5.1,5.2,-0.5,-8.849557,14884.0,24134.0,0.3315496533203125,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,0.6166977418686554
NVDA250801C00172500,2025-07-25 19:59:58+00:00,172.5,3.45,3.4,3.5,-0.53999996,-13.5338335,25499.0,24241.0,0.3110420458984374,True,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,1.0518521574127546
NVDA250801C00175000,2025-07-25 19:59:56+00:00,175.0,2.11,2.11,2.15,-0.5500002,-20.676699,123445.0,36953.0,0.2946847875976562,False,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,3.3405044108892135
NVDA250801C00177500,2025-07-25 19:59:51+00:00,177.5,1.21,1.19,1.22,-0.43999994,-26.666662,94254.0,39562.0,0.28613995117187496,False,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,2.3823774739023835
NVDA250801C00180000,2025-07-25 19:59:55+00:00,180.0,0.63,0.62,0.64,-0.32999998,-34.375,81977.0,46673.0,0.28174546386718746,False,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,1.7563739983716844
NVDA250801C00182500,2025-07-25 19:59:54+00:00,182.5,0.32,0.31,0.33,-0.22000003,-40.740746,21590.0,19835.0,0.2841868457031249,False,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,1.0884250857027626
NVDA250801C00185000,2025-07-25 19:59:16+00:00,185.0,0.17,0.16,0.17,-0.13000001,-43.333336,68544.0,35652.0,0.2910227148437499,False,REGULAR,USD,call,2025-08-01,NVDA,2025-07-25 21:36:06,1.9225310633046306
NVDA250801P00140000,2025-07-25 19:59:47+00:00,140.0,0.05,0.04,0.05,-0.02,-28.571428,12091.0,4141.0,0.6601596484375001,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,2.919121197489136
NVDA250801P00150000,2025-07-25 19:59:02+00:00,150.0,0.11,0.11,0.12,-0.040000007,-26.666668,17753.0,13279.0,0.5371140039062501,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,1.3368222891566266
NVDA250801P00165000,2025-07-25 19:59:59+00:00,165.0,0.65,0.63,0.65,-0.08000004,-10.958909,29291.0,26067.0,0.3523013989257812,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,1.1236381770753414
NVDA250801P00167500,2025-07-25 19:59:53+00:00,167.5,0.96,0.96,0.98,-0.14000005,-12.727277,18914.0,9862.0,0.32910827148437494,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,1.9176721078779275
NVDA250801P00170000,2025-07-25 19:59:51+00:00,170.0,1.5,1.49,1.51,-0.19000006,-11.242606,33526.0,18364.0,0.30933307861328124,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,1.8255377075959707
NVDA250801P00172500,2025-07-25 19:59:55+00:00,172.5,2.31,2.32,2.35,-0.24000001,-9.411765,47852.0,7579.0,0.2951730639648437,False,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,6.312928759894459
NVDA250801P00175000,2025-07-25 19:59:52+00:00,175.0,3.49,3.45,3.55,-0.22000003,-5.92992,19392.0,6173.0,0.2841868457031249,True,REGULAR,USD,put,2025-08-01,NVDA,2025-07-25 21:36:06,3.140913508260447
