insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
Herrington Douglas J,CEO Worldwide Amazon Stores,-2500.0,03/03/2025,S,2500.0,213.17,511974.0,532925.0,1.0409219999453097
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6582.996,0.0,0.0
BEZOS JEFFREY P,"Director, Executive Chair",-239843.0,03/03/2025,G,239843.0,0.0,909470052.0,0.0,0.0
BEZOS JEFFREY P,"Director, Executive Chair",-56339.0,03/04/2025,G,56339.0,0.0,909413713.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",20000.0,02/21/2025,M,20000.0,0.0,2107710.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",31960.0,02/21/2025,M,31960.0,0.0,2139670.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",-5764.0,02/21/2025,S,5764.0,219.0963,2133906.0,1262871.0732,0.5918119510418922
Jassy Andrew R,"Director, President and CEO",-3652.0,02/21/2025,S,3652.0,219.9148,2130254.0,803128.8496000001,0.3770108398341231
Jassy Andrew R,"Director, President and CEO",-5711.0,02/21/2025,S,5711.0,220.9195,2124543.0,1261671.2645,0.5938553677190812
Jassy Andrew R,"Director, President and CEO",-3200.0,02/21/2025,S,3200.0,222.0959,2121343.0,710706.88,0.3350268579857194
Jassy Andrew R,"Director, President and CEO",-2457.0,02/21/2025,S,2457.0,222.8847,2118886.0,547627.7079,0.25845076511902954
Jassy Andrew R,"Director, President and CEO",0.0,,,0.0,0.0,65500.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",0.0,,,0.0,0.0,9901.738,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,12660.0,02/21/2025,M,12660.0,0.0,517978.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,2600.0,02/21/2025,M,2600.0,0.0,520578.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,-1704.0,02/21/2025,S,1704.0,221.5184,518874.0,377467.35360000003,0.7274740179696806
Herrington Douglas J,CEO Worldwide Amazon Stores,-1600.0,02/21/2025,S,1600.0,222.31,517274.0,355696.0,0.6876355664502759
Herrington Douglas J,CEO Worldwide Amazon Stores,-2800.0,02/21/2025,S,2800.0,223.1443,514474.0,624804.0399999999,1.2144521200293892
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6582.996,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,11380.0,02/21/2025,M,11380.0,0.0,60380.0,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,3240.0,02/21/2025,M,3240.0,0.0,63620.0,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,-14620.0,02/21/2025,S,14620.0,223.14,49000.0,3262306.8,66.57768979591836
Olsavsky Brian T,Senior Vice President and CFO,0.0,,,0.0,0.0,1564.063,0.0,0.0
Zapolsky David,Senior Vice President,11380.0,02/21/2025,M,11380.0,0.0,71770.0,0.0,0.0
Zapolsky David,Senior Vice President,3240.0,02/21/2025,M,3240.0,0.0,75010.0,0.0,0.0
Zapolsky David,Senior Vice President,-1172.0,02/21/2025,S,1172.0,218.9888,73838.0,256654.8736,3.4759185460061213
Zapolsky David,Senior Vice President,-1140.0,02/21/2025,S,1140.0,219.8217,72698.0,250596.73799999998,3.447092602272414
Zapolsky David,Senior Vice President,-1688.0,02/21/2025,S,1688.0,220.8176,71010.0,372740.1088,5.249121374454302
Zapolsky David,Senior Vice President,-1614.0,02/21/2025,S,1614.0,222.145,69396.0,358542.03,5.166609458758431
Zapolsky David,Senior Vice President,-234.0,02/21/2025,S,234.0,223.1642,69162.0,52220.4228,0.7550450073739915
Zapolsky David,Senior Vice President,-19212.0,02/24/2025,S,19212.0,217.5,49950.0,4178610.0,83.65585585585586
Reynolds Shelley,Vice President,2360.0,02/21/2025,M,2360.0,0.0,125502.0,0.0,0.0
Reynolds Shelley,Vice President,340.0,02/21/2025,M,340.0,0.0,125842.0,0.0,0.0
Reynolds Shelley,Vice President,2771.0,02/21/2025,M,2771.0,0.0,128613.0,0.0,0.0
Reynolds Shelley,Vice President,-1933.0,02/21/2025,S,1933.0,221.4221,126680.0,428008.9193,3.378662135301547
Reynolds Shelley,Vice President,-2900.0,02/21/2025,S,2900.0,222.2497,123780.0,644524.13,5.207013491678785
Reynolds Shelley,Vice President,-4000.0,02/21/2025,S,4000.0,223.1435,119780.0,892574.0,7.4517782601435965
Reynolds Shelley,Vice President,0.0,,,0.0,0.0,2655.72,0.0,0.0
Garman Matthew S,CEO Amazon Web Services,-3637.0,02/21/2025,S,3637.0,219.046,11603.0,796670.302,68.66071722830303
Garman Matthew S,CEO Amazon Web Services,-2951.0,02/21/2025,S,2951.0,219.8145,8652.0,648672.5895,74.97371584604716
Garman Matthew S,CEO Amazon Web Services,-4188.0,02/21/2025,S,4188.0,220.9106,4464.0,925173.5928,207.2521489247312
Garman Matthew S,CEO Amazon Web Services,-2425.0,02/21/2025,S,2425.0,222.0623,2039.0,538501.0775,264.1005774889652
Garman Matthew S,CEO Amazon Web Services,-2039.0,02/21/2025,S,2039.0,222.7926,0.0,454274.1114,0.0
Garman Matthew S,CEO Amazon Web Services,0.0,,,0.0,0.0,334021.0,0.0,0.0
Garman Matthew S,CEO Amazon Web Services,0.0,,,0.0,0.0,887.52,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,13752.0,02/15/2025,M,13752.0,0.0,510819.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,-4301.0,02/18/2025,S,4301.0,228.3178,506518.0,981994.8578,1.9387166059251597
Herrington Douglas J,CEO Worldwide Amazon Stores,-1200.0,02/18/2025,S,1200.0,228.8975,505318.0,274677.0,0.5435725622281415
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6582.996,0.0,0.0
GORELICK JAMIE S,Director,2677.0,02/15/2025,M,2677.0,0.0,46061.0,0.0,0.0
GORELICK JAMIE S,Director,-51750.0,02/18/2025,G,51750.0,0.0,9957.0,0.0,0.0
