insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
Ashkenazi Anat,"SVP, Chief Financial Officer",-11711.0,03/25/2025,C,11711.0,0.0,81918.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",-11696.0,03/25/2025,F,11696.0,169.93,70222.0,1987501.28,28.303114123778872
Ashkenazi Anat,"SVP, Chief Financial Officer",-6686.0,03/25/2025,C,6686.0,0.0,115239.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",-6761.0,03/25/2025,F,6761.0,169.93,108478.0,1148896.73,10.591057449436752
Ashkenazi Anat,"SVP, Chief Financial Officer",18397.0,03/25/2025,C,18397.0,0.0,54064.0,0.0,0.0
Ashkenazi Anat,"SVP, Chief Financial Officer",0.0,,,0.0,0.0,33045.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-11764.0,03/27/2025,S,11764.0,166.8395,49037.0,1962699.8779999998,40.024876684952176
WALKER JOHN KENT,"President, Global Affairs, CLO",17782.0,03/25/2025,C,17782.0,0.0,41283.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-7045.0,03/25/2025,C,7045.0,0.0,49632.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-7124.0,03/25/2025,F,7124.0,169.93,42508.0,1210581.32,28.47890561776607
WALKER JOHN KENT,"President, Global Affairs, CLO",-4720.0,03/25/2025,C,4720.0,0.0,71228.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-4773.0,03/25/2025,F,4773.0,0.0,66455.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-6085.0,03/25/2025,F,6085.0,169.93,110462.0,1034024.05,9.360902844417085
WALKER JOHN KENT,"President, Global Affairs, CLO",-6017.0,03/25/2025,C,6017.0,0.0,104444.0,0.0,0.0
Porat Ruth,President and CIO,17782.0,03/25/2025,C,17782.0,0.0,667068.0,0.0,0.0
Porat Ruth,President and CIO,-4720.0,03/25/2025,C,4720.0,0.0,71228.0,0.0,0.0
Porat Ruth,President and CIO,-4773.0,03/25/2025,F,4773.0,169.93,66455.0,811075.89,12.204888872169137
Porat Ruth,President and CIO,-7045.0,03/25/2025,C,7045.0,0.0,49632.0,0.0,0.0
Porat Ruth,President and CIO,-7124.0,03/25/2025,F,7124.0,169.93,42508.0,1210581.32,28.47890561776607
Porat Ruth,President and CIO,-6085.0,03/25/2025,F,6085.0,169.93,110462.0,1034024.05,9.360902844417085
Porat Ruth,President and CIO,-6017.0,03/25/2025,C,6017.0,0.0,104444.0,0.0,0.0
Porat Ruth,President and CIO,0.0,,,0.0,0.0,120000.0,0.0,0.0
Porat Ruth,President and CIO,0.0,,,0.0,0.0,200000.0,0.0,0.0
Porat Ruth,President and CIO,0.0,,,0.0,0.0,975000.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",952.0,03/25/2025,C,952.0,0.0,15976.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-278.0,03/25/2025,C,278.0,0.0,19894.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-281.0,03/25/2025,F,281.0,169.93,19613.0,47750.33,2.434626523224392
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-674.0,03/25/2025,C,674.0,0.0,23732.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-681.0,03/25/2025,F,681.0,169.93,23050.0,115722.33,5.020491540130152
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",22165.0,03/25/2025,C,22165.0,0.0,706746.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-7132.0,03/25/2025,C,7132.0,0.0,136310.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-7212.0,03/25/2025,F,7212.0,169.93,129098.0,1225535.1600000001,9.493060775534866
Schindler Philipp,"SVP, Chief Business Officer",-9002.0,03/25/2025,C,9002.0,0.0,63419.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-9104.0,03/25/2025,F,9104.0,169.93,54315.0,1547042.72,28.48278965295038
Schindler Philipp,"SVP, Chief Business Officer",-6031.0,03/25/2025,C,6031.0,0.0,91013.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-6099.0,03/25/2025,F,6099.0,169.93,84914.0,1036403.0700000001,12.205326212403138
