insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
HUANG JEN HSUN,"Director, President and CEO",-22617.0,07/29/2025,S,22617.0,175.9113,73875608.0,3978585.8721000003,0.05385520308814244
HUANG JEN HSUN,"Director, President and CEO",-23643.0,07/29/2025,S,23643.0,176.4785,73851965.0,4172481.1755,0.056497903278538354
HUANG JEN HSUN,"Director, President and CEO",-8234.0,07/29/2025,S,8234.0,177.877,73843731.0,1464639.218,0.01983430682829393
HUANG JEN HSUN,"Director, President and CEO",-20062.0,07/29/2025,S,20062.0,178.652,73823669.0,3584116.4239999996,0.04854969242994411
HUANG JEN HSUN,"Director, President and CEO",-444.0,07/29/2025,S,444.0,179.3038,73823225.0,79610.8872,0.0010783989347525795
HUANG JEN HSUN,"Director, President and CEO",-2241.0,07/30/2025,S,2241.0,176.7086,73820984.0,396003.9726,0.005364382200594887
HUANG JEN HSUN,"Director, President and CEO",-11141.0,07/30/2025,S,11141.0,177.6767,73809843.0,1979496.1147,0.026818863639907757
HUANG JEN HSUN,"Director, President and CEO",-37774.0,07/30/2025,S,37774.0,178.7388,73772069.0,6751679.4311999995,0.0915208089283764
HUANG JEN HSUN,"Director, President and CEO",-23844.0,07/30/2025,S,23844.0,179.4286,73748225.0,4278295.5384,0.058012183186781786
HUANG JEN HSUN,"Director, President and CEO",-1958.0,07/31/2025,S,1958.0,176.9181,73746267.0,346405.6398,0.004697263385548722
HUANG JEN HSUN,"Director, President and CEO",-19623.0,07/31/2025,S,19623.0,177.7261,73726644.0,3487519.2603,0.047303377328554386
HUANG JEN HSUN,"Director, President and CEO",-3947.0,07/31/2025,S,3947.0,178.9803,73722697.0,706435.2441,0.009582330447026376
HUANG JEN HSUN,"Director, President and CEO",-11204.0,07/31/2025,S,11204.0,179.8009,73711493.0,2014489.2836000002,0.027329378386081533
HUANG JEN HSUN,"Director, President and CEO",-17547.0,07/31/2025,S,17547.0,180.7904,73693946.0,3172329.1488,0.04304735084751738
HUANG JEN HSUN,"Director, President and CEO",-17768.0,07/31/2025,S,17768.0,181.7127,73676178.0,3228671.2536000004,0.04382245851026638
HUANG JEN HSUN,"Director, President and CEO",-2953.0,07/31/2025,S,2953.0,182.7007,73673225.0,539515.1671000001,0.007323083346765396
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,582503470.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,49489560.0,0.0,0.0
HUANG JEN HSUN,"Director, President and CEO",0.0,,,0.0,0.0,22280000.0,0.0,0.0
