query,title,description,content,vaderScore,finbertResult
Invesco QQQ,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ,IVV Attracts $18.3 Billion; KRE Grows Its Asset Base,"The iShares Core S&P 500 ETF (IVV) pulled in $18.3 billion on Tuesday. Here are the daily ETF fund flows for March 26, 2025.","The iShares Core S&amp;P 500 ETF (IVV) pulled in $18.3 billion as the S&amp;P 500 eked out a 0.2% gain Tuesday, according to etf.com daily fund flows data.
The Invesco QQQ Trust (QQQ) attracted $1 b… [+4687 chars]",0.9287,positive
Invesco QQQ,Invesco QQQ (NASDAQ:QQQ) Shares Up 0.5% Following Dividend Announcement,"Invesco QQQ (NASDAQ:QQQ – Get Free Report)’s stock price rose 0.5% on Tuesday following a dividend announcement from the company. The stock traded as high as $493.51 and last traded at $493.21. Approximately 9,253,483 shares were traded during trading, a decl…",Invesco QQQ (NASDAQ:QQQ – Get Free Report)’s stock price rose 0.5% on Tuesday following a dividend announcement from the company. The stock traded as high as $493.51 and last traded at $493.21. Appro… [+2671 chars],0.875,positive
Invesco QQQ,Bank Stocks To Consider – March 23rd,"Invesco QQQ, BlackRock, JPMorgan Chase & Co., Mastercard, and U.S. Bancorp are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks refer to shares issued by banking institutions that can be traded on public stock ex…","Invesco QQQ, BlackRock, JPMorgan Chase &amp; Co., Mastercard, and U.S. Bancorp are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks refer to shares issu… [+5990 chars]",0.5267,neutral
Invesco QQQ,What's hot in ETFs? Bond funds are in demand as investors flee the Nasdaq 'QQQ',"There have been strong inflows into fixed income, especially ultrashort funds. Precious metal funds have seen surprisingly light inflows.","About 2,000 asset managers and investment advisors are here at the Exchange ETF conference in Las Vegas.  
A small ETF crowd arrived Saturday night to see Dead &amp; Co. at the Sphere, who put on an… [+7850 chars]",0.7322,neutral
Invesco QQQ,Promising Bank Stocks To Follow Today – March 21st,"Invesco QQQ, JPMorgan Chase & Co., Bank of America, Mastercard, Mitsubishi UFJ Financial Group, Citigroup, and Wells Fargo & Company are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares issued by comp…","Invesco QQQ, JPMorgan Chase &amp; Co., Bank of America, Mastercard, Mitsubishi UFJ Financial Group, Citigroup, and Wells Fargo &amp; Company are the seven Bank stocks to watch today, according to Mar… [+8576 chars]",0.7845,neutral
Invesco QQQ,"Nasdaq 100 Index Outperforms The S&P 500, But Has Its Pros And Cons","Despite its tech-heavy bias, the Nasdaq 100 remains a compelling, and winning, investment choice for certain investors.","Home to megacaps like Nvidia (NVDA), Alphabet (GOOGL) and Apple (AAPL), the Nasdaq 100 index is celebrating its 40th anniversary this year, with a record worthy of the party. Its total return has out… [+6889 chars]",0.9793,positive
Invesco QQQ,"EverSource Wealth Advisors LLC Takes $35,000 Position in Innovator Growth Accelerated Plus ETF – October (BATS:QTOC)","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commiss…","EverSource Wealth Advisors LLC bought a new stake in shares of Innovator Growth Accelerated Plus ETF – October (BATS:QTOC – Free Report) during the fourth quarter, according to the company in its mos… [+1711 chars]",0.981,neutral
Invesco QQQ,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ,Top Bank Stocks To Follow Today – March 16th,"Invesco QQQ, JPMorgan Chase & Co., and Bank of America are the three Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares representing partial ownership in banking institutions, allowing investors to participate in…","Invesco QQQ, JPMorgan Chase &amp; Co., and Bank of America are the three Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares representing partial ownersh… [+3667 chars]",0.6369,neutral
Invesco QQQ,Top Bank Stocks To Follow Now – March 15th,"Invesco QQQ, JPMorgan Chase & Co., Bank of America, Mastercard, Intuit, American Express, and Wells Fargo & Company are the seven Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares issued by banks or financial in…","Invesco QQQ, JPMorgan Chase &amp; Co., Bank of America, Mastercard, Intuit, American Express, and Wells Fargo &amp; Company are the seven Bank stocks to watch today, according to MarketBeat’s stock s… [+8121 chars]",0.7184,neutral
Invesco QQQ,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ,US Stocks Rattled Anew as Trump Ramps Up Trade War With Canada,"US stocks coughed up early gains after President Donald Trump said he will increase levies on Canadian steel and aluminum, adding to uncertainty about the path of the American economy.","US stocks coughed up early gains after President Donald Trump said he will increase levies on Canadian steel and aluminum, adding to uncertainty about the path of the American economy.
Author of the… [+8294 chars]",-0.0772,neutral
Invesco QQQ,Invesco QQQ Trust: Pivot points,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…","Earnings calls, analyst events, roadshows and more",0.8442,neutral
Invesco QQQ,Top Bank Stocks To Follow Today – March 6th,"Invesco QQQ, JPMorgan Chase & Co., Bank of America, Mastercard, and Fiserv are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares representing ownership in banks or financial institutions that offer serv…","Invesco QQQ, JPMorgan Chase &amp; Co., Bank of America, Mastercard, and Fiserv are the five Bank stocks to watch today, according to MarketBeat’s stock screener tool. Bank stocks are shares represent… [+5989 chars]",0.6369,neutral
Invesco QQQ,Analyst That Nailed January 2025 Bitcoin Top Predicts BTC Rallies in Coming Months – But There’s a Catch,"A crypto strategist who accurately called the January Bitcoin correction believes that BTC still has room to run to the upside this year. Analyst Benjamin Cowen tells his 987,300 followers on the social media platform X that he sees Bitcoin sparking a “counte…","A crypto strategist who accurately called the January Bitcoin correction believes that BTC still has room to run to the upside this year.
Analyst Benjamin Cowen tells his 987,300 followers on the so… [+1673 chars]",0.1027,neutral
Invesco QQQ,Auto ETFs Skid Despite Trump Tariff Exemption,"Auto ETFs holding Ford, General Motors fell despite Trump's Mexican tariff exemptions affecting automakers.","Ford trucks on the lot
Auto ETFs holding Ford Motor Co. (F) and General Motors Co. (GM) dipped Thursday, despite President Donald Trump granting the automakers a month-long exemption from 25% tariff… [+2101 chars]",0.3182,negative
Invesco QQQ,"Daily ETF Flows: SPY, VTI and BIL Lead Inflows Amid Selloff","The SPDR Bloomberg 1-3 Month T-Bill ETF (BIL) pulled in $672.1 million in fresh assets Tuesday. Here are the daily ETF flows for March 5, 2025.","Bond 
The SPDR Bloomberg 1-3 Month T-Bill ETF (BIL) pulled in $672.1 million in fresh assets Tuesday, with total assets under management growing 1.8% to $38.4 billion, according to etf.com daily ETF… [+4837 chars]",0.8268,positive
Invesco QQQ,SOA Wealth Advisors LLC. Sells 37 Shares of Invesco QQQ (NASDAQ:QQQ),"SOA Wealth Advisors LLC. lessened its position in Invesco QQQ (NASDAQ:QQQ – Free Report) by 0.2% during the 4th quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 17,332 shares of the exchange traded…","SOA Wealth Advisors LLC. lessened its position in Invesco QQQ (NASDAQ:QQQ – Free Report) by 0.2% during the 4th quarter, according to its most recent filing with the Securities and Exchange Commissio… [+3708 chars]",0.9719,positive
