query,title,description,content,vaderScore,finbertResult
SPDR S&P 500,Why You Should Buy Gold Now,"In tempestuous times like these, the storied metal tends to ascend. It’s up 15% this year, as stocks have dipped.","Gold ingot and coins
getty
Gold is no longer the barbarous relic that legendary economist John Maynard Keynes once dubbed it. In fact, gold is a solid asset class, whose price has escalated through… [+3043 chars]",0.5267,positive
SPDR S&P 500,Buy These 7%+ Recession-Resistant Dividends Now,"Utility stocks tend to rally as the economy slows because interest rates drop, making dividend-paying “utes” more attractive.","Electricity pilon with glowing cables over sunset sky
getty
The average S&amp;P 500 drawdown during a recession since 1990 is 40%. Recent economic data show that we are now careening towards a slow… [+4443 chars]",0.3167,negative
SPDR S&P 500,Investors Find Ways To Profit From Trump's Global Arms Race,"President Donald Trump's moves to rip up the world's military alliances are creating ways for investors to profit in S&P 500 stocks using ETFs.
Six of the eight largest defense and aerospace ETFs, including iShares U.S. Aerospace & Defense (ITA), Invesco Aero…","President Donald Trump's moves to rip up the world's military alliances are creating ways for investors to profit in S&amp;P 500 stocks using ETFs.Six of the eight largest defense and aerospace ETFs,… [+155 chars]",0.9274,neutral
SPDR S&P 500,Envestnet Portfolio Solutions Inc. Acquires New Position in FT Vest U.S. Equity Buffer ETF – January (BATS:FJAN),"Envestnet Portfolio Solutions Inc. acquired a new stake in FT Vest U.S. Equity Buffer ETF – January (BATS:FJAN – Free Report) during the 4th quarter, according to the company in its most recent filing with the SEC. The institutional investor acquired 9,463 sh…","Envestnet Portfolio Solutions Inc. acquired a new stake in FT Vest U.S. Equity Buffer ETF – January (BATS:FJAN – Free Report) during the 4th quarter, according to the company in its most recent filin… [+2792 chars]",0.8658,neutral
SPDR S&P 500,Envestnet Portfolio Solutions Inc. Purchases New Stake in FT Cboe Vest U.S. Equity Moderate Buffer ETF – November (NYSEARCA:GNOV),"Envestnet Portfolio Solutions Inc. acquired a new position in shares of FT Cboe Vest U.S. Equity Moderate Buffer ETF – November (NYSEARCA:GNOV – Free Report) during the 4th quarter, according to the company in its most recent 13F filing with the Securities an…","Envestnet Portfolio Solutions Inc. acquired a new position in shares of FT Cboe Vest U.S. Equity Moderate Buffer ETF – November (NYSEARCA:GNOV – Free Report) during the 4th quarter, according to the … [+2838 chars]",0.936,neutral
SPDR S&P 500,"Avantax Advisory Services Inc. Has $238,000 Position in FT Cboe Vest U.S. Equity Moderate Buffer ETF – June (NYSEARCA:GJUN)","Avantax Advisory Services Inc. lessened its holdings in shares of FT Cboe Vest U.S. Equity Moderate Buffer ETF – June (NYSEARCA:GJUN – Free Report) by 43.5% during the 4th quarter, according to its most recent disclosure with the SEC. The fund owned 6,612 sha…","Avantax Advisory Services Inc. lessened its holdings in shares of FT Cboe Vest U.S. Equity Moderate Buffer ETF – June (NYSEARCA:GJUN – Free Report) by 43.5% during the 4th quarter, according to its m… [+2660 chars]",0.875,positive
SPDR S&P 500,Raymond James Financial Inc. Makes New $4.38 Million Investment in Innovator U.S. Equity 5 to 15 Buffer ETF – Quarterly (BATS:EALT),"Raymond James Financial Inc. acquired a new position in Innovator U.S. Equity 5 to 15 Buffer ETF – Quarterly (BATS:EALT – Free Report) in the fourth quarter, Holdings Channel.com reports. The firm acquired 135,878 shares of the company’s stock, valued at appr…","Raymond James Financial Inc. acquired a new position in Innovator U.S. Equity 5 to 15 Buffer ETF – Quarterly (BATS:EALT – Free Report) in the fourth quarter, Holdings Channel.com reports. The firm ac… [+2723 chars]",0.8934,neutral
SPDR S&P 500,"S&P 500, Nasdaq 100 Trackers SPY And QQQ Below 200-Day Average As Tariff Concerns Continue To Trouble Markets","The exchange-traded funds tracking the S&P 500 index fell again, whereas the one tracking the Nasdaq 100 continues to remain below its 200-day average as President Donald Trump‘s tariff announcements continue to make headlines.
What Happened: The technical an…","The exchange-traded funds tracking the S&amp;P 500 index fell again, whereas the one tracking the Nasdaq 100 continues to remain below its 200-day average as President Donald Trumps tariff announceme… [+150 chars]",-0.4019,negative
SPDR S&P 500,IVV Attracts $18.3 Billion; KRE Grows Its Asset Base,"The iShares Core S&P 500 ETF (IVV) pulled in $18.3 billion on Tuesday. Here are the daily ETF fund flows for March 26, 2025.","The iShares Core S&amp;P 500 ETF (IVV) pulled in $18.3 billion as the S&amp;P 500 eked out a 0.2% gain Tuesday, according to etf.com daily fund flows data.
The Invesco QQQ Trust (QQQ) attracted $1 b… [+4687 chars]",0.9287,positive
SPDR S&P 500,Gold is the real ‘Trump put’,Jonathan Guthrie: Should you consider investing in the precious metal? There are pros and cons to consider. Find out more.,"Jonathan Guthrie: Should you consider investing in the precious metal? There are pros and cons to consider
Author of the article:
Gold bars are shown stacked in a vault at the United States Mint on… [+8531 chars]",0.89,neutral
