contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
AMZN250808C00110000,2025-08-04 18:16:54+00:00,110.0,102.91,100.0,103.9,-3.8899994,-3.6423213,4.0,3,2.9687525781249997,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00115000,2025-08-04 18:42:44+00:00,115.0,97.42,95.15,98.9,-18.560005,-16.002764,24.0,1,2.88281529296875,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00120000,2025-08-04 18:55:41+00:00,120.0,92.32,90.25,93.85,-20.39,-18.090675,96.0,21,2.7304719238281248,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00125000,2025-08-04 18:34:32+00:00,125.0,87.29,85.15,88.9,-3.7600021,-4.1296015,50.0,50,2.529300551757812,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00130000,2025-08-01 15:06:34+00:00,130.0,86.47,80.1,83.9,0.0,0.0,2.0,3,2.3378947802734364,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00135000,2025-08-01 18:03:54+00:00,135.0,79.0,75.0,78.9,0.0,0.0,21.0,39,2.1250046874999997,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00140000,2025-07-15 18:58:28+00:00,140.0,86.7,70.1,73.85,0.0,0.0,,1,1.998046884765625,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00150000,2025-08-04 19:36:08+00:00,150.0,62.1,60.1,63.95,-2.9000015,-4.4615407,7.0,5026,1.74609501953125,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00155000,2025-08-01 18:06:50+00:00,155.0,59.75,55.05,58.85,0.47000122,0.7928496,1.0,22,1.54297103515625,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00160000,2025-08-04 19:42:00+00:00,160.0,52.3,50.15,53.95,-3.869999,-6.8897967,13.0,2,1.4794947900390625,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00165000,2025-08-04 18:42:44+00:00,165.0,47.46,45.05,48.95,-3.6599998,-7.1596246,25.0,6,1.3085972070312497,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
AMZN250808C00170000,2025-08-04 18:55:41+00:00,170.0,42.37,40.75,43.95,-5.7299995,-11.912681,56.0,7,1.3505891845703122,True,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57
