contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp,vol_oi_ratio
AMZN250808C00212500,2025-08-04 19:59:52+00:00,212.5,2.33,2.31,2.35,-2.7400002,-54.043396,25548.0,1950,0.3110420458984374,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,13.094823167606355
AMZN250808C00215000,2025-08-04 19:59:59+00:00,215.0,1.36,1.37,1.4,-2.29,-62.739723,59893.0,5467,0.309577216796875,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,10.9533650329188
AMZN250808C00217500,2025-08-04 19:59:53+00:00,217.5,0.77,0.75,0.78,-1.77,-69.68504,39537.0,5008,0.3100654931640625,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,7.893192253942903
AMZN250808C00220000,2025-08-04 19:59:54+00:00,220.0,0.4,0.41,0.42,-1.27,-76.047905,60185.0,11690,0.31445998046874996,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,5.147977076383543
AMZN250808C00222500,2025-08-04 19:59:40+00:00,222.5,0.24,0.23,0.25,-0.85,-77.98165,10837.0,7334,0.331061376953125,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,1.4774369461486025
AMZN250808C00225000,2025-08-04 19:59:47+00:00,225.0,0.15,0.14,0.15,-0.58000004,-79.45206,26526.0,17825,0.34668622070312494,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,1.4880511612251768
AMZN250808C00230000,2025-08-04 19:59:36+00:00,230.0,0.07,0.07,0.08,-0.28,-80.0,19864.0,11594,0.398443515625,False,REGULAR,USD,call,2025-08-08,AMZN,2025-08-05 03:38:57,1.713152220784821
AMZN250808P00207500,2025-08-04 19:59:56+00:00,207.5,1.08,1.06,1.09,-0.13999999,-11.475408,14698.0,3742,0.304694453125,False,REGULAR,USD,put,2025-08-08,AMZN,2025-08-05 03:38:57,3.9267966871493454
AMZN250808P00210000,2025-08-04 19:59:59+00:00,210.0,1.82,1.82,1.86,0.0200001,1.1111166,31872.0,8968,0.29566134033203123,False,REGULAR,USD,put,2025-08-08,AMZN,2025-08-05 03:38:57,3.5535734195562494
AMZN250808P00212500,2025-08-04 19:59:56+00:00,212.5,3.02,2.97,3.05,0.43000007,16.60232,26974.0,4718,0.29395237304687494,True,REGULAR,USD,put,2025-08-08,AMZN,2025-08-05 03:38:57,5.716041534223352
