contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
GOOGL250808C00080000,2025-07-25 13:48:59+00:00,80.0,114.0,114.75,115.45,0.0,0.0,3.0,1,3.2656268359375,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00100000,2025-07-29 19:51:37+00:00,100.0,95.83,94.75,95.5,0.0,0.0,2.0,5,2.593753515625,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00110000,2025-07-29 15:14:20+00:00,110.0,84.35,83.8,85.45,0.8199997,0.9816829,1.0,1,2.800784248046875,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00130000,2025-07-11 15:27:25+00:00,130.0,49.5,64.8,65.5,0.0,0.0,4.0,2,1.6992202539062502,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00135000,2025-07-29 19:47:15+00:00,135.0,61.05,59.8,60.5,0.0,0.0,1.0,85,1.5585959570312498,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00140000,2025-08-04 18:24:00+00:00,140.0,54.63,54.8,56.7,2.7800026,5.3616247,2.0,10075,1.9345706396484377,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00145000,2025-07-29 13:33:48+00:00,145.0,48.69,49.8,51.3,0.0,0.0,1.0,49,1.650392373046875,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00149000,2025-07-31 13:30:01+00:00,149.0,46.91,45.75,46.6,0.0,0.0,,3,1.2168007910156249,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00150000,2025-07-31 18:44:08+00:00,150.0,42.26,44.8,45.5,0.0,0.0,4.0,64,1.15625421875,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00155000,2025-08-01 14:03:21+00:00,155.0,33.08,39.8,40.55,0.0,0.0,1.0,34,1.05859845703125,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00160000,2025-08-01 17:34:27+00:00,160.0,28.7,34.85,35.55,0.0,0.0,7.0,66,0.9570316796874999,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00162500,2025-08-04 19:45:14+00:00,162.5,32.2,32.2,33.0,5.5,20.59925,4.0,14,0.773439765625,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00165000,2025-08-04 18:04:11+00:00,165.0,29.7,29.85,31.75,5.800001,24.267788,10.0,159,1.1323285571289063,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00167500,2025-08-01 19:59:35+00:00,167.5,27.8,27.35,28.0,5.949999,27.231115,13.0,38,0.74414318359375,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00170000,2025-08-04 19:19:21+00:00,170.0,24.69,24.9,25.3,5.3999996,27.993774,32.0,568,0.6015664843750002,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00172500,2025-08-04 16:30:16+00:00,172.5,21.6,22.25,23.05,5.550001,34.57945,12.0,45,0.5996133789062501,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00175000,2025-08-04 19:57:14+00:00,175.0,20.4,20.05,20.35,6.1099997,42.757168,56.0,314,0.57617611328125,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
GOOGL250808C00177500,2025-08-04 18:52:39+00:00,177.5,17.0,17.3,18.1,4.8,39.344265,48.0,189,0.5127001855468749,True,REGULAR,USD,call,2025-08-08,GOOGL,2025-08-05 03:54:06
