contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp
MSFT250808C00250000,2025-08-04 13:46:54+00:00,250.0,285.3,283.65,287.2,-1.7799988,-0.6200358,8.0,1,3.815430148925781,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00260000,2025-07-31 13:52:52+00:00,260.0,281.3,273.6,277.2,0.0,0.0,,10,3.6386727783203128,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00300000,2025-08-04 15:57:19+00:00,300.0,235.33,233.75,237.25,10.919998,4.866092,10.0,14,3.00781498046875,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00320000,2025-07-25 15:53:30+00:00,320.0,216.32,213.8,217.25,22.070007,11.361651,1.0,1,2.713382122802734,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00330000,2025-07-30 14:32:47+00:00,330.0,184.54,203.8,207.25,0.0,0.0,2.0,0,2.572269194335937,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00335000,2025-07-31 13:30:18+00:00,335.0,215.55,198.7,202.25,0.0,0.0,1.0,1,2.502933430175781,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00350000,2025-07-31 16:31:43+00:00,350.0,187.2,184.3,186.95,0.0,0.0,1.0,2001,2.216801333007812,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00360000,2025-07-02 15:22:27+00:00,360.0,134.45,162.95,166.35,0.0,0.0,,4817,1.0000000000000003e-05,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00365000,2025-08-01 18:53:32+00:00,365.0,159.63,168.8,172.3,0.0,0.0,1.0,5,2.118168767089843,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00370000,2025-08-01 16:50:02+00:00,370.0,153.7,163.8,167.3,0.0,0.0,1.0,1,2.0546923632812497,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00375000,2025-07-23 15:09:48+00:00,375.0,128.0,158.75,162.35,0.0,0.0,5.0,5,2.0029346801757812,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00380000,2025-08-01 18:01:54+00:00,380.0,143.77,153.8,157.25,0.0,0.0,3.0,3,1.9174808813476565,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00385000,2025-08-04 18:43:41+00:00,385.0,151.37,148.8,152.2,11.669998,8.353613,12.0,11,1.8447273388671874,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00390000,2025-08-04 13:57:18+00:00,390.0,145.8,143.85,147.15,-1.199997,-0.8163245,3.0,10,1.772950354003906,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00395000,2025-07-31 13:35:13+00:00,395.0,149.51,138.8,142.25,0.0,0.0,1.0,4,1.7348646069335936,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00400000,2025-08-01 18:32:53+00:00,400.0,124.88,134.9,137.25,0.0,0.0,11.0,19,1.3369173779296872,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00405000,2025-08-01 17:10:28+00:00,405.0,117.27,128.85,132.2,0.0,0.0,1.0,4,1.60547072265625,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00410000,2025-08-01 18:54:56+00:00,410.0,114.85,123.9,127.15,0.0,0.0,2.0,62,1.5366234106445313,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
MSFT250808C00415000,2025-08-04 19:12:54+00:00,415.0,121.79,118.85,122.15,12.200005,11.132407,17.0,21,1.4790065112304687,True,REGULAR,USD,call,2025-08-08,MSFT,2025-08-05 03:54:08
