contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration,ticker,timestamp,vol_oi_ratio
MSFT250801C00450000,2025-07-25 19:59:52+00:00,450.0,64.0,0.0,0.0,0.0,0.0,1854.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,1854.0
MSFT250801C00510000,2025-07-25 19:59:58+00:00,510.0,13.08,0.0,0.0,0.0,0.0,2674.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,2674.0
MSFT250801C00512500,2025-07-25 19:59:59+00:00,512.5,11.65,0.0,0.0,0.0,0.0,1813.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,1813.0
MSFT250801C00515000,2025-07-25 19:59:55+00:00,515.0,10.45,0.0,0.0,0.0,0.0,5001.0,0.0,0.007822421875,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,5001.0
MSFT250801C00517500,2025-07-25 19:59:59+00:00,517.5,9.25,0.0,0.0,0.0,0.0,1940.0,0.0,0.015634843750000002,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,1940.0
MSFT250801C00520000,2025-07-25 19:59:37+00:00,520.0,8.0,0.0,0.0,0.0,0.0,2330.0,0.0,0.0312596875,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,2330.0
MSFT250801C00525000,2025-07-25 19:59:59+00:00,525.0,6.25,0.0,0.0,0.0,0.0,3385.0,0.0,0.0312596875,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,3385.0
MSFT250801C00530000,2025-07-25 19:59:41+00:00,530.0,4.66,0.0,0.0,0.0,0.0,1579.0,0.0,0.062509375,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,1579.0
MSFT250801C00540000,2025-07-25 19:59:53+00:00,540.0,2.46,0.0,0.0,0.0,0.0,2011.0,0.0,0.12500875,False,REGULAR,USD,call,2025-08-01,MSFT,2025-07-28 04:53:20,2011.0
MSFT250801P00450000,2025-07-25 19:57:28+00:00,450.0,0.07,0.0,0.0,-0.059999995,-46.153843,2234.0,0.0,0.2500075,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-28 04:53:20,2234.0
MSFT250801P00490000,2025-07-25 19:59:46+00:00,490.0,2.54,0.0,0.0,-0.6400001,-20.125788,2069.0,0.0,0.062509375,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-28 04:53:20,2069.0
MSFT250801P00500000,2025-07-25 19:59:59+00:00,500.0,5.09,0.0,0.0,-0.7999997,-13.582338,2684.0,0.0,0.062509375,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-28 04:53:20,2684.0
MSFT250801P00512500,2025-07-25 19:59:56+00:00,512.5,10.14,0.0,0.0,-1.1599998,-10.265485,1892.0,0.0,0.007822421875,False,REGULAR,USD,put,2025-08-01,MSFT,2025-07-28 04:53:20,1892.0
MSFT250801P00515000,2025-07-25 19:59:49+00:00,515.0,11.24,0.0,0.0,-1.1599998,-9.354837,2016.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-01,MSFT,2025-07-28 04:53:20,2016.0
